Gene_ID	SRR28479526	SRR28479525
WBGene2L52	259.89	47.4754
WBGene2RSSE	231.91	50.9349
WBGene3R5	0.0	0.0
WBGene4R79	0.0	0.0
WBGeneAC3	0.0	80.5023
WBGeneAC7	0.0	0.0
WBGeneAC8	0.0	0.0
WBGeneAH10	0.0	0.0
WBGeneAH6	0.0	0.0
WBGeneAH9	144.146	138.037
WBGeneB0001	494.94941	385.70748860000003
WBGeneB0019	90.50659999999999	42.979
WBGeneB0024	0.0	409.9083
WBGeneB0025	70.32711	1206.0352
WBGeneB0034	1406.347	27.8368
WBGeneB0035	567.1461	3132.8802
WBGeneB0041	1262.8645000000001	2151.888
WBGeneB0047	0.0	0.0
WBGeneB0198	0.0	27.55358106
WBGeneB0205	530.9235	1272.9366
WBGeneB0207	210.56	0.0
WBGeneB0212	0.0	0.0
WBGeneB0213	0.0	3098.537
WBGeneB0218	62.3382047569	0.0
WBGeneB0222	283.476	542.64
WBGeneB0228	3.98333	303.3445
WBGeneB0238	480.85900000000004	438.485
WBGeneB0240	0.0	52.9578
WBGeneB0244	0.0	0.0
WBGeneB0250	2290.049	1238.905
WBGeneB0252	0.0	0.0
WBGeneB0261	207.34953	1057.567528
WBGeneB0272	73.7919	135.237
WBGeneB0273	148.6422	36.5304
WBGeneB0280	170.087	149.4905
WBGeneB0281	0.0	952.579
WBGeneB0284	38.3109	0.0
WBGeneB0285	273.2659	75.5339107
WBGeneB0286	452.00100000000003	416.249
WBGeneB0294	0.0	0.0
WBGeneB0302	27.0421	0.0
WBGeneB0303	886.5842	339.27200000000005
WBGeneB0304	412.907	276.625
WBGeneB0310	0.0	166.29
WBGeneB0331	0.0	0.0
WBGeneB0334	429.45340322958	584.25680652909
WBGeneB0336	3134.2572999999998	4749.918853
WBGeneB0344	51.96	49.2561
WBGeneB0348	298.501961	326.35031508657
WBGeneB0350	180.0654	205.09897999999998
WBGeneB0353	201.1874	0.0
WBGeneB0361	253.699048	494.504183
WBGeneB0365	259.58700226376	306.84800823696
WBGeneB0379	228.5319067	28.61797629
WBGeneB0391	195.362	95.072
WBGeneB0393	1239.8558	1029.8008
WBGeneB0395	136.898	50.667
WBGeneB0399	0.0	0.0
WBGeneB0403	497.7355	197.786
WBGeneB0410	0.0	0.0
WBGeneB0412	12024.3	3076.5414
WBGeneB0414	107.2131482507	113.024904484768
WBGeneB0416	220.445034351	282.9527129385
WBGeneB0432	83.2736	998.5016
WBGeneB0454	0.0	0.0
WBGeneB0457	83.7265	105.5064
WBGeneB0462	0.0	97.7346
WBGeneB0464	1537.9756937	1949.4278
WBGeneB0478	0.0	75.72
WBGeneB0491	294.5047261	169.8195
WBGeneB0495	337.391076	357.0232
WBGeneB0496	20.770109060990002	168.88030294309
WBGeneB0507	197.16449999999998	50.6966
WBGeneB0511	249.5551662	658.90952895
WBGeneB0513	279.6328	787.358
WBGeneB0523	0.0	40.4391
WBGeneB0524	52.7341	49.9948
WBGeneB0545	51.9014	0.0
WBGeneB0546	1070.5745	548.3247
WBGeneB0547	0.0	297.281
WBGeneB0554	0.0	0.0
WBGeneB0563	236.37030696850996	510.425
WBGeneB0564	269.0277	54.2845
WBGeneBE0003N10	42.9208	299.721
WBGeneBE10	68.1119	104.0659
WBGeneC01A2	114.873	573.955
WBGeneC01B10	1769.732	2600.9859
WBGeneC01B12	110.27	0.0
WBGeneC01B4	0.0	0.0
WBGeneC01B7	206.3135	323.18899999999996
WBGeneC01B9	0.0	0.0
WBGeneC01C10	0.0	548.859
WBGeneC01C4	0.0	0.0
WBGeneC01C7	28.31761	53.52754
WBGeneC01F1	204.56920000000002	316.817
WBGeneC01F4	31.3005	0.0
WBGeneC01F6	584.6598	3476.763
WBGeneC01G10	1112.702	318.784
WBGeneC01G12	0.0	61.442
WBGeneC01G5	0.0	477.0045
WBGeneC01G6	3143.201	3226.2551
WBGeneC01G8	196.978468	417.23155399999996
WBGeneC01H6	266.1372958	47.3716
WBGeneC02A12	0.0	0.0
WBGeneC02B10	161.1519	311.853
WBGeneC02B4	113.85400385861	0.0
WBGeneC02B8	0.0	0.0
WBGeneC02C2	0.0	0.0
WBGeneC02C6	469.796	214.7177
WBGeneC02D4	0.0	0.0
WBGeneC02D5	509.31550000000004	161.63
WBGeneC02E11	111.13929999999999	26.25834
WBGeneC02E7	2098.893	2182.87
WBGeneC02F12	275.6521	429.0938
WBGeneC02F4	555.99	294.00109899999995
WBGeneC02F5	140.0411	216.8238
WBGeneC02G6	0.0	0.0
WBGeneC02H6	0.0	0.0
WBGeneC02H7	43.1535	145.84313571799998
WBGeneC03A3	0.0	62.5957
WBGeneC03A7	218.37619999999998	72.5509
WBGeneC03B1	632.82	363.328
WBGeneC03B8	54.6471	38.6671
WBGeneC03C10	1147.075	770.104
WBGeneC03C11	0.0	0.0
WBGeneC03D6	22.8633	78.705
WBGeneC03E10	0.0	0.0
WBGeneC03F11	0.0	0.0
WBGeneC03G5	132.533	41.838
WBGeneC03G6	0.0	0.0
WBGeneC03H12	0.0	329.4031
WBGeneC03H5	101.562	106.392
WBGeneC04A11	50.50728976	23.85973529
WBGeneC04A2	317.7319	138.0685
WBGeneC04B4	0.0	0.0
WBGeneC04C11	95.18439	45.089099999999995
WBGeneC04C3	93.7982	89.3854
WBGeneC04D8	159.725	24.3354
WBGeneC04E12	0.0	0.0
WBGeneC04E6	0.0	30.1511
WBGeneC04E7	24.7977	58.3011
WBGeneC04F1	0.0	0.0
WBGeneC04F12	1944.911	2648.8901
WBGeneC04F2	0.0	0.0
WBGeneC04F5	39.3933	0.0
WBGeneC04F6	592.4879	354.255
WBGeneC04G2	0.0	0.0
WBGeneC04G6	20.9338	39.5353
WBGeneC04H4	0.0	0.0
WBGeneC04H5	234.5964	0.0
WBGeneC05A2	0.0	0.0
WBGeneC05A9	286.654	182.152
WBGeneC05B10	0.0	0.0
WBGeneC05B5	95.8498	231.852
WBGeneC05C10	0.0	418.936849214979
WBGeneC05C12	18.5609	0.0
WBGeneC05C8	412.08099999999996	825.23051
WBGeneC05C9	0.0	0.0
WBGeneC05D10	341.26099999999997	259.1097
WBGeneC05D11	1133.3323268687	824.7146
WBGeneC05D12	181.597	278.20184774999996
WBGeneC05D2	207.8203	0.0
WBGeneC05D9	535.6653	165.33
WBGeneC05E11	90.5674	0.0
WBGeneC05E4	599.27456683	252.634
WBGeneC05E7	147.106	278.127
WBGeneC05G5	551.038	455.23603
WBGeneC05G6	0.0	69.5247
WBGeneC05H8	0.0	0.0
WBGeneC06A1	0.0	35.8801
WBGeneC06A12	0.0	0.0
WBGeneC06A5	205.145183	174.760511
WBGeneC06A6	263.4475361	410.79031596000004
WBGeneC06A8	287.89	780.0442
WBGeneC06B3	0.0	0.0
WBGeneC06B8	2575.4147	2422.0957
WBGeneC06C3	121.164	57.2739
WBGeneC06C6	0.0	104.974
WBGeneC06E1	370.3683	230.583
WBGeneC06E2	191.087	0.0
WBGeneC06E4	654.178	624.979
WBGeneC06E7	232.60000000000002	0.0
WBGeneC06E8	0.0	0.0
WBGeneC06G1	515.80307189	861.59538039
WBGeneC06G3	159.5572	267.849300847229
WBGeneC06G4	78.465004252	74.265012623
WBGeneC06G8	0.0	0.0
WBGeneC06H2	771.805	415.2068
WBGeneC06H5	88.8192	84.5876
WBGeneC07A12	1522.9764	1271.4176195999999
WBGeneC07A4	0.0	0.0
WBGeneC07A9	380.4507	655.2389
WBGeneC07B5	98.729	0.0
WBGeneC07C7	0.0	0.0
WBGeneC07D10	426.7061751	172.543
WBGeneC07D8	0.0	109.345
WBGeneC07E3	40.9535	141.96938799999998
WBGeneC07F11	0.0	69.3828
WBGeneC07G1	967.6697	1100.7404999999999
WBGeneC07G2	252.0779	256.1195
WBGeneC07G3	86.0776	0.0
