target_id,WBGene_ID,tpm
2L52.1a.1,WBGene00007063,0.0
2L52.1b.1,WBGene00007063,0.0
2RSSE.1a.1,WBGene00007064,0.0
2RSSE.1b.1,WBGene00007064,0.0
2RSSE.1c.1,WBGene00007064,0.0
3R5.1a.1,WBGene00007065,0.0
3R5.1b.1,WBGene00007065,0.0
4R79.1a.1,WBGene00003525,0.0
4R79.1b.1,WBGene00003525,0.0
4R79.2a.1,WBGene00007067,0.0
4R79.2b.1,WBGene00007067,0.0
AC3.10.1,WBGene00004964,0.0
AC3.10.2,WBGene00004964,0.0
AC3.12a.1,WBGene00077503,0.0
AC3.12b.1,WBGene00077503,0.0
AC3.1a.1,WBGene00005532,0.0
AC3.1b.1,WBGene00005532,0.0
AC3.2.1,WBGene00007070,0.0
AC3.3.1,WBGene00000024,0.0
AC3.4.1,WBGene00004098,0.0
AC3.5a.1,WBGene00007071,0.0
AC3.5b.1,WBGene00007071,0.0
AC3.6.1,WBGene00000724,0.0
AC3.7.1,WBGene00007072,0.0
AC3.8.1,WBGene00007073,141.443
AC7.1a.1,WBGene00006428,0.0
AC7.1b.1,WBGene00006428,0.0
AC7.2a.1,WBGene00004929,0.0
AC7.2b.1,WBGene00004929,0.0
AC7.2c.1,WBGene00004929,0.0
AC7.2d.1,WBGene00004929,0.0
AC7.3.1,WBGene00014997,0.0
AC8.10.1,WBGene00043988,0.0
AC8.11.1,WBGene00043989,0.0
AC8.3.1,WBGene00007075,236.121
AC8.4.1,WBGene00007076,0.0
AH10.1.1,WBGene00007082,0.0
AH10.2.1,WBGene00007083,0.0
AH10.4.1,WBGene00007085,0.0
AH6.1.1,WBGene00001528,0.0
AH6.10.1,WBGene00005032,0.0
AH6.11.1,WBGene00005033,0.0
AH6.12.1,WBGene00005034,0.0
AH6.14.1,WBGene00005035,0.0
AH6.17.1,WBGene00219290,0.0
AH6.2.1,WBGene00007080,0.0
AH6.3.1,WBGene00007081,0.0
AH6.4.1,WBGene00005027,0.0
AH6.5.1,WBGene00003231,0.0
AH6.6.1,WBGene00005028,0.0
AH6.7.1,WBGene00005029,0.0
AH6.8.1,WBGene00005030,0.0
AH9.1.1,WBGene00014998,0.0
AH9.2.1,WBGene00000797,0.0
AH9.3.1,WBGene00014999,0.0
AH9.3.2,WBGene00014999,0.0
AH9.4.1,WBGene00015000,0.0
AH9.6.1,WBGene00044701,0.0
B0001.1a.1,WBGene00003010,278.717
B0001.1b.1,WBGene00003010,0.0
B0001.1c.1,WBGene00003010,0.0
B0001.2.1,WBGene00007087,0.0
B0001.3a.1,WBGene00007088,0.0
B0001.3b.1,WBGene00007088,0.0
B0001.3c.1,WBGene00007088,0.0
B0001.4a.1,WBGene00007089,0.0
B0001.4c.1,WBGene00007089,0.0
B0001.5.1,WBGene00007090,0.0
B0001.6.1,WBGene00007091,104.017
B0001.6.2,WBGene00007091,0.0
B0001.7a.1,WBGene00007092,0.0
B0001.7b.1,WBGene00007092,0.0
B0001.7c.1,WBGene00007092,0.0
B0001.8a.1,WBGene00007093,0.0
B0001.8b.1,WBGene00007093,0.0
B0001.8c.1,WBGene00007093,0.0
B0001.8d.1,WBGene00007093,0.0
B0001.8d.2,WBGene00007093,0.0
B0001.8d.3,WBGene00007093,0.0
B0001.8d.4,WBGene00007093,0.0
B0019.1.1,WBGene00000138,0.0
B0019.2.1,WBGene00007094,0.0
B0024.1.1,WBGene00000722,0.0
B0024.10.1,WBGene00007100,0.0
B0024.11.1,WBGene00007101,0.0
B0024.12.1,WBGene00001646,887.552
B0024.13.1,WBGene00007102,0.0
B0024.14a.1,WBGene00007103,0.0
B0024.14b.1,WBGene00007103,0.0
B0024.14d.1,WBGene00007103,0.0
B0024.14f.1,WBGene00007103,0.0
B0024.15.1,WBGene00007104,0.0
B0024.2.1,WBGene00000723,0.0
B0024.3.1,WBGene00007096,0.0
B0024.4.1,WBGene00007097,0.0
B0024.6a.1,WBGene00001533,0.0
B0024.6b.1,WBGene00001533,0.0
B0024.8a.1,WBGene00000491,0.0
B0024.8b.1,WBGene00000491,0.0
B0024.8c.1,WBGene00000491,0.0
B0024.8d.1,WBGene00000491,0.0
B0024.9a.1,WBGene00007099,0.0
B0024.9b.1,WBGene00007099,0.0
B0025.1a.1,WBGene00006932,0.0
B0025.1c.1,WBGene00006932,0.0
B0025.2.1,WBGene00000814,0.0
B0025.2.2,WBGene00000814,0.0
B0025.4.1,WBGene00015001,0.0
B0025.5.1,WBGene00194700,0.0
B0034.1.1,WBGene00015002,0.0
B0034.1.2,WBGene00015002,0.0
B0034.2.1,WBGene00015003,0.0
B0034.3a.1,WBGene00000403,378.297
B0034.3b.1,WBGene00000403,0.0
B0034.3c.1,WBGene00000403,0.0
B0034.3d.1,WBGene00000403,0.0
B0034.4.1,WBGene00015004,0.0
B0034.5.1,WBGene00015005,0.0
B0034.7.1,WBGene00044394,0.0
B0035.10.1,WBGene00001919,0.0
B0035.11.1,WBGene00007110,0.0
B0035.12.1,WBGene00007111,0.0
B0035.12.2,WBGene00007111,0.0
B0035.13.1,WBGene00007112,0.0
B0035.14a.1,WBGene00001019,0.0
B0035.14b.1,WBGene00001019,0.0
B0035.15.1,WBGene00007113,0.0
B0035.16.1,WBGene00007114,0.0
B0035.18.1,WBGene00044290,0.0
B0035.1a.1,WBGene00007105,0.0
B0035.1b.1,WBGene00007105,0.0
B0035.2.1,WBGene00001020,0.0
B0035.21.1,WBGene00235095,0.0
B0035.22.1,WBGene00303031,0.0
B0035.3.1,WBGene00007106,0.0
B0035.4.1,WBGene00007107,0.0
B0035.5.1,WBGene00007108,0.0
B0035.6.1,WBGene00007109,0.0
B0035.7.1,WBGene00001921,0.0
B0035.8.1,WBGene00001922,0.0
B0035.9.1,WBGene00001920,0.0
B0041.1.1,WBGene00015006,0.0
B0041.11.1,WBGene00206362,0.0
B0041.11.2,WBGene00206362,0.0
B0041.12.1,WBGene00303032,0.0
B0041.2a.1,WBGene00015007,0.0
B0041.2a.2,WBGene00015007,0.0
B0041.2b.1,WBGene00015007,0.0
B0041.2c.1,WBGene00015007,0.0
B0041.2d.1,WBGene00015007,0.0
B0041.2e.1,WBGene00015007,0.0
B0041.2f.1,WBGene00015007,0.0
B0041.2g.1,WBGene00015007,0.0
B0041.3.1,WBGene00015008,0.0
B0041.4.1,WBGene00004415,4994.04
B0041.5a.1,WBGene00015009,0.0
B0041.5c.1,WBGene00015009,0.0
B0041.6a.1,WBGene00015010,0.0
B0041.6b.1,WBGene00015010,0.0
B0041.7.1,WBGene00006961,0.0
B0041.8.1,WBGene00015011,0.0
B0047.1.1,WBGene00015012,0.0
B0047.1.2,WBGene00015012,0.0
B0047.3.1,WBGene00015014,0.0
B0047.4.1,WBGene00015015,0.0
B0198.1.1,WBGene00006646,175.742
B0198.2a.1,WBGene00007115,0.0
B0198.2b.1,WBGene00007115,0.0
B0198.2b.2,WBGene00007115,0.0
B0198.3a.1,WBGene00007116,0.0
B0198.3a.2,WBGene00007116,0.0
B0205.10.1,WBGene00015024,0.0
B0205.10.2,WBGene00015024,0.0
