target_id	length	eff_length	est_counts	tpm
2L52.1a.1	2154	1837.06	0	0
2L52.1b.1	663	354.003	1	265.544
2RSSE.1a.1	2332	2015.06	0	0
2RSSE.1b.1	2301	1984.06	5	236.898
2RSSE.1c.1	2030	1713.06	0	0
3R5.1a.1	823	507.678	0	0
3R5.1b.1	806	491.035	0	0
4R79.1a.1	1457	1140.06	0	0
4R79.1b.1	543	244.875	0	0
4R79.2a.1	1286	969.055	0	0
4R79.2b.1	936	619.512	0	0
AC3.10.1	1160	843.055	0	0
AC3.10.2	1138	821.055	0	0
AC3.12a.1	367	114.16	0	0
AC3.12b.1	300	77.8059	0	0
AC3.1a.1	1122	805.055	0	0
AC3.1b.1	1041	724.055	0	0
AC3.2.1	1651	1334.06	0	0
AC3.3.1	1405	1088.06	0	0
AC3.4.1	1401	1084.06	0	0
AC3.5a.1	3422	3105.06	0	0
AC3.5b.1	2952	2635.06	0	0
AC3.6.1	978	661.055	0	0
AC3.7.1	1728	1411.06	0	0
AC3.8.1	1690	1373.06	0	0
AC7.1a.1	1377	1060.06	0	0
AC7.1b.1	1281	964.055	0	0
AC7.2a.1	2128	1811.06	0	0
AC7.2b.1	2046	1729.06	0	0
AC7.2c.1	2281	1964.06	0	0
AC7.2d.1	1650	1333.06	0	0
AC7.3.1	759	445.488	0	0
AC8.10.1	1350	1033.06	0	0
AC8.11.1	654	345.509	0	0
AC8.3.1	1125	808.055	0	0
AC8.4.1	654	345.509	0	0
AH10.1.1	1825	1508.06	0	0
AH10.2.1	835	519.435	0	0
AH10.4.1	334	95.8157	0	0
AH6.1.1	3414	3097.06	0	0
AH6.10.1	2314	1997.06	0	0
AH6.11.1	1073	756.055	0	0
AH6.12.1	1053	736.055	0	0
AH6.14.1	1181	864.055	0	0
AH6.17.1	286	70.8529	0	0
AH6.2.1	1050	733.055	0	0
AH6.3.1	835	519.435	0	0
AH6.4.1	1091	774.055	0	0
AH6.5.1	1895	1578.06	0	0
AH6.6.1	990	673.055	0	0
AH6.7.1	1037	720.055	0	0
AH6.8.1	1049	732.055	0	0
AH9.1.1	1607	1290.06	0	0
