target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1806	1523.36	940	18.8467
F27C8.1.1	1739	1456.36	302	6.33357
F07C3.7.1	1738	1455.36	444	9.31801
F52H2.2a.1	1750	1467.36	1236.58	25.7392
F52H2.2b.1	2020	1737.36	746.423	13.1222
T13A10.10a.1	1804	1521.36	22.3618	0.448937
T13A10.10b	1598	1315.36	16.6382	0.386343
C55C2.5a.1	1876	1593.36	1621.85	31.0891
C55C2.5b	1606	1323.36	231.058	5.33278
C55C2.5c	1671	1388.36	603.164	13.2692
C55C2.5d	1618	1335.36	52.9235	1.21049
T11F9.4a.1	1765	1482.36	303	6.24309
T11F9.4b.1	1542	1259.36	0	0
F54D12.3.1	1593	1310.36	3	0.0699264
F28F9.4.1	1562	1279.36	77	1.83827
Y53H1C.1a.1	2087	1804.36	465.803	7.88479
Y53H1C.1b.1	2047	1764.36	185.197	3.20596
C50F2.9.1	314	76.7128	4	1.59259
C50F2.10.1	258	48.6743	3	1.88249
F54B8.5.1	270	53.7093	0	0
Y38H6C.22.1	441	171.215	269	47.9869
T22H6.5.1	479	204.96	459	68.3998
T22H6.7.1	702	419.942	1223	88.9506
M79.1a.1	4085	3802.36	762.681	6.12634
M79.1b.1	4078	3795.36	610.774	4.91517
M79.1c.1	4128	3845.36	172.733	1.37199
M79.1d.1	4088	3805.36	414.829	3.32955
M79.1e.1	3998	3715.36	1.98229	0.0162959
C24F3.5a.1	4719	4436.36	0	0
C24F3.5b.1	4440	4157.36	0	0
F12B6.1a.1	6672	6389.36	3346.23	15.9959
F12B6.1b.1	6330	6047.36	41.7737	0.210984
Y39D8C.1.1	5543	5260.36	2479	14.3937
Y53C10A.9.1	4875	4592.36	21	0.139667
AC3.3.1	1405	1122.36	4	0.108852
F19G12.7.1	1719	1436.36	0	0
Y5H2A.3.1	1060	777.363	8	0.314324
Y105C5A.4.1	1008	725.363	0.25	0.0105268
C03A7.7.1	1167	884.363	0	0
C03A7.8.1	1466	1183.36	3.66016	0.09447
C03A7.14.1	1523	1240.36	246.969	6.08143
R09F10.2.1	1137	854.363	0	0
F35A5.3.1	1268	985.363	91	2.8207
T01D1.6.1	1295	1012.36	40	1.2068
W09B12.1.1	2468	2185.36	1260	17.61
Y44E3A.2.1	2985	2702.36	2988	33.7714
Y44E3A.2.2	2841	2558.36	6.42651e-06	7.67229e-08
Y48B6A.8.1	2200	1917.36	1403	22.3494
Y48B6A.7.1	2065	1782.36	223	3.82138
C42D8.5.1	3082	2799.36	140	1.5275
ZK455.1.1	2831	2548.36	11661	139.761
F54H12.1a.1	2739	2456.36	5856.74	72.824
F54H12.1c.1	2533	2250.36	419.736	5.69686
F54H12.1c.2	2599	2316.36	345.463	4.55519
F54H12.1c.3	2133	1850.36	7722.07	127.464
K11G12.2.1	2037	1754.36	156	2.71592
K11G12.7.1	1659	1376.36	34	0.754497
K03F8.2.1	2059	1776.36	126	2.16646
ZK973.5.1	1666	1383.36	27	0.596128
T09A5.3.1	1723	1440.36	69	1.46315
ZC504.2.1	1810	1527.36	253	5.05929
ZC504.2.2	1772	1489.36	0	0
C40C9.2.1	1944	1661.36	20	0.367686
R02E12.8.1	1743	1460.36	53	1.10848
D2092.3.1	1473	1190.36	50	1.28293
R01E6.4a.1	2059	1776.36	212.581	3.65515
R01E6.4b.1	1449	1166.36	65.4188	1.71309
T05C12.2.1	1503	1220.36	25	0.625695
F25G6.4.1	1501	1218.36	198	4.96364
F25G6.3.1	1822	1539.36	195	3.86906
F53E10.2a	2249	1966.36	35.6935	0.554417
F53E10.2b.1	1623	1340.36	129.069	2.94112
F53E10.2c	2333	2050.36	0	0
F53E10.2d	438	168.628	0	0
F53E10.2e	1155	872.363	0.362034	0.0126754
F53E10.2f	1071	788.363	7.85176	0.304195
F53E10.2g.1	1551	1268.36	41.1511	0.990945
F53E10.2h.1	237	39.9817	0	0
F53E10.2i.1	126	17.6562	0	0
F28F8.1.1	1615	1332.36	163	3.7366
C31H5.3a.1	1897	1614.36	205.714	3.89201
C31H5.3b.1	1886	1603.36	21.2863	0.405489
R06A4.10a.1	1841	1558.36	0	0
R06A4.10b.1	1814	1531.36	114.826	2.2902
R06A4.10c.1	1671	1388.36	34.1743	0.751809
F27B3.2a.1	1981	1698.36	95.4031	1.71571
F27B3.2b.1	1842	1559.36	0	0
F27B3.2c.1	1815	1532.36	0	0
F27B3.2d.1	1749	1466.36	59.5969	1.24135
F48E3.7.1	1478	1195.36	150	3.83268
F59B1.9a.1	1792	1509.36	98.268	1.98852
F59B1.9b.1	1695	1412.36	118.732	2.56763
T04C12.6.1	1264	981.363	59662.5	1856.88
T04C12.5.1	1281	998.363	5777.32	176.746
T04C12.4.1	1474	1191.36	0	0
T04C12.4.2	1558	1275.36	38598.2	924.368
T04C12.4.3	1553	1270.36	37.6315	0.904763
M03F4.2a.1	1601	1318.36	65467.8	1516.72
M03F4.2b.1	999	716.363	0	0
T25C8.2.1	1270	987.363	18301.5	566.138
F17C8.1.1	4234	3951.36	2390	18.4741
C10F3.3.1	3313	3030.36	362	3.64859
C44F1.5.1	4040	3757.36	1286	10.4537
T01C2.1.1	3265	2982.36	502	5.14109
F39C12.2a.1	2213	1930.36	106.461	1.68448
F39C12.2b.1	2544	2261.36	265.446	3.58524
F39C12.2c.1	2452	2169.36	67.4522	0.949675
F39C12.2d.1	2364	2081.36	73.708	1.08163
F39C12.2e.1	2157	1874.36	54.9322	0.895128
F57F5.4a.1	1951	1668.36	287.973	5.27196
F57F5.4b.1	885	602.363	152.027	7.70859
C04A11.4a.1	3255	2972.36	1739.12	17.8706
C04A11.4b.1	3261	2978.36	102.878	1.05501
ZK154.7.1	2522	2239.36	230	3.137
H15N14.1c.1	3101	2818.36	1214.72	13.1641
H15N14.1d.1	2761	2478.36	926.612	11.4194
H15N14.1e.1	2885	2602.36	217.973	2.55827
H15N14.1f.1	303	70.1162	0	0
H15N14.1g.1	348	98.5248	21.5707	6.68697
T20H4.4.1	1622	1339.36	747	17.0347
Y50D7A.7.1	1879	1596.36	4878	93.3301
C02B4.1a.1	4802	4519.36	230.245	1.55606
C02B4.1b.1	4697	4414.36	22.7546	0.157439
F08C6.1a.1	3686	3403.36	2414.23	21.6662
F08C6.1b.1	378	120.026	0	0
F08C6.1c.1	4359	4076.36	116.766	0.874892
D2030.10a.1	3225	2942.36	309	3.20755
D2030.10b.1	3222	2939.36	0	0
T14B1.2.1	1220	937.363	156	5.0831
C02H7.3a.1	4582	4299.36	1650.13	11.7226
C02H7.3b.1	4507	4224.36	1118.87	8.08966
F32A7.6.1	1798	1515.36	885	17.8377
Y87G2A.4.1	972	689.363	1071	47.4518
B0334.8a.1	3929	3646.36	966	8.0915
B0334.8b.1	231	37.4854	0	0
F32A6.4a.1	2264	1981.36	803.741	12.3898
F32A6.4a.2	2137	1854.36	116.161	1.91327
F32A6.4b	1941	1658.36	0	0
F32A6.4c	1787	1504.36	0	0
F32A6.4d.1	1071	788.363	4.23108e-05	1.63922e-06
F32A6.4e.1	942	659.363	172.367	7.98439
F32A6.4f.1	2267	1984.36	81.1998	1.24981
F32A6.4f.2	1579	1296.36	158.957	3.74512
F32A6.4f.3	1284	1001.36	321.884	9.81791
